,Survived,Pclass,Age,SibSp,Parch,Fare,Gender
0,0,3,22.0,1,0,7.25,1
1,1,1,38.0,1,0,71.2833,0
2,1,3,26.0,0,0,7.925,0
3,1,1,35.0,1,0,53.1,0
4,0,3,35.0,0,0,8.05,1
6,0,1,54.0,0,0,51.8625,1
7,0,3,2.0,3,1,21.075,1
8,1,3,27.0,0,2,11.1333,0
9,1,2,14.0,1,0,30.0708,0
10,1,3,4.0,1,1,16.7,0
11,1,1,58.0,0,0,26.55,0
12,0,3,20.0,0,0,8.05,1
13,0,3,39.0,1,5,31.275,1
14,0,3,14.0,0,0,7.8542,0
15,1,2,55.0,0,0,16.0,0
16,0,3,2.0,4,1,29.125,1
18,0,3,31.0,1,0,18.0,0
20,0,2,35.0,0,0,26.0,1
21,1,2,34.0,0,0,13.0,1
22,1,3,15.0,0,0,8.0292,0
23,1,1,28.0,0,0,35.5,1
24,0,3,8.0,3,1,21.075,0
25,1,3,38.0,1,5,31.3875,0
27,0,1,19.0,3,2,263.0,1
30,0,1,40.0,0,0,27.7208,1
33,0,2,66.0,0,0,10.5,1
34,0,1,28.0,1,0,82.1708,1
35,0,1,42.0,1,0,52.0,1
37,0,3,21.0,0,0,8.05,1
38,0,3,18.0,2,0,18.0,0
39,1,3,14.0,1,0,11.2417,0
40,0,3,40.0,1,0,9.475,0
41,0,2,27.0,1,0,21.0,0
43,1,2,3.0,1,2,41.5792,0
44,1,3,19.0,0,0,7.8792,0
49,0,3,18.0,1,0,17.8,0
50,0,3,7.0,4,1,39.6875,1
51,0,3,21.0,0,0,7.8,1
52,1,1,49.0,1,0,76.7292,0
53,1,2,29.0,1,0,26.0,0
54,0,1,65.0,0,1,61.9792,1
56,1,2,21.0,0,0,10.5,0
57,0,3,28.5,0,0,7.2292,1
58,1,2,5.0,1,2,27.75,0
59,0,3,11.0,5,2,46.9,1
60,0,3,22.0,0,0,7.2292,1
61,1,1,38.0,0,0,80.0,0
62,0,1,45.0,1,0,83.475,1
63,0,3,4.0,3,2,27.9,1
66,1,2,29.0,0,0,10.5,0
67,0,3,19.0,0,0,8.1583,1
68,1,3,17.0,4,2,7.925,0
69,0,3,26.0,2,0,8.6625,1
70,0,2,32.0,0,0,10.5,1
71,0,3,16.0,5,2,46.9,0
72,0,2,21.0,0,0,73.5,1
73,0,3,26.0,1,0,14.4542,1
74,1,3,32.0,0,0,56.4958,1
75,0,3,25.0,0,0,7.65,1
78,1,2,0.83,0,2,29.0,1
79,1,3,30.0,0,0,12.475,0
80,0,3,22.0,0,0,9.0,1
81,1,3,29.0,0,0,9.5,1
83,0,1,28.0,0,0,47.1,1
84,1,2,17.0,0,0,10.5,0
85,1,3,33.0,3,0,15.85,0
86,0,3,16.0,1,3,34.375,1
88,1,1,23.0,3,2,263.0,0
89,0,3,24.0,0,0,8.05,1
90,0,3,29.0,0,0,8.05,1
91,0,3,20.0,0,0,7.8542,1
92,0,1,46.0,1,0,61.175,1
93,0,3,26.0,1,2,20.575,1
94,0,3,59.0,0,0,7.25,1
96,0,1,71.0,0,0,34.6542,1
97,1,1,23.0,0,1,63.3583,1
98,1,2,34.0,0,1,23.0,0
99,0,2,34.0,1,0,26.0,1
100,0,3,28.0,0,0,7.8958,0
102,0,1,21.0,0,1,77.2875,1
103,0,3,33.0,0,0,8.6542,1
104,0,3,37.0,2,0,7.925,1
105,0,3,28.0,0,0,7.8958,1
106,1,3,21.0,0,0,7.65,0
108,0,3,38.0,0,0,7.8958,1
110,0,1,47.0,0,0,52.0,1
111,0,3,14.5,1,0,14.4542,0
112,0,3,22.0,0,0,8.05,1
113,0,3,20.0,1,0,9.825,0
114,0,3,17.0,0,0,14.4583,0
115,0,3,21.0,0,0,7.925,1
116,0,3,70.5,0,0,7.75,1
117,0,2,29.0,1,0,21.0,1
118,0,1,24.0,0,1,247.5208,1
119,0,3,2.0,4,2,31.275,0
120,0,2,21.0,2,0,73.5,1
122,0,2,32.5,1,0,30.0708,1
123,1,2,32.5,0,0,13.0,0
124,0,1,54.0,0,1,77.2875,1
125,1,3,12.0,1,0,11.2417,1
127,1,3,24.0,0,0,7.1417,1
129,0,3,45.0,0,0,6.975,1
130,0,3,33.0,0,0,7.8958,1
131,0,3,20.0,0,0,7.05,1
132,0,3,47.0,1,0,14.5,0
133,1,2,29.0,1,0,26.0,0
134,0,2,25.0,0,0,13.0,1
135,0,2,23.0,0,0,15.0458,1
136,1,1,19.0,0,2,26.2833,0
137,0,1,37.0,1,0,53.1,1
